,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
0,Bayern Munich,Schalke,1,8,0,7.9,5.6,1.10,11.00,21.00,61%,39%,22,5,"['Neuer', 'Pavard', 'Sule', 'Boateng', 'Hernandez', 'Kimmich', 'Goretzka', 'Gnabry', 'Muller', 'Sane', 'Lewandowski']","['Fahrmann', 'Rudy', 'Kabak', 'Stambouli', 'Oczipka', 'Serdar', 'Bentaleb', 'Matondo', 'Uth', 'Harit', 'Paciencia']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
1,Werder Bremen,Hertha Berlin,2,1,4,6.2,7.7,,,,,58%,17,13,"['Pavlenka', 'Gebre Selassie', 'Friedl', 'Moisander', 'Augustinsson', 'Chong', 'Klaassen', 'Eggestein', 'Osako', 'Sargent', 'Selke']","['Schwolow', 'Pekarik', 'Boyata', 'Torunarigha', 'Mittelstadt', 'Tousart', 'Stark', 'Lukebakio', 'Darida', 'Cunha', 'Piatek']",4 - 4 - 2,4 - 2 - 3 - 1
2,Union Berlin,Augsburg,2,1,3,6.6,7.3,,,,56%,44%,13,9,"['Luthe', 'Trimmel', 'Friedrich', 'Knoche', 'Lenz', 'Andrich', 'Becker', 'Promel', 'Gentner', 'Bulter', 'Ingvartsen']","['Gikiewicz', 'Framberger', 'Gouweleeuw', 'Uduokhai', 'Iago', 'Khedira', 'Gruezo', 'Caligiuri', 'Vargas', 'Niederlechner', 'Gregoritsch']",4 - 1 - 4 - 1,4 - 2 - 2 - 2
3,Stuttgart,Freiburg,2,2,3,6.6,7.3,,,,,41%,,7,"['Kobel', 'Anton', 'Kaminski', 'Kempf', 'Endo', 'Massimo', 'Castro', 'Mangala', 'Silas', 'Klimowicz', 'Didavi']","['Muller', 'Schmid', 'Lienhart', 'Heintz', 'Gunter', 'Hofler', 'Sallai', 'Jeong', 'Holer', 'Grifo', 'Petersen']",3 - 1 - 4 - 2,4 - 1 - 4 - 1
4,FC Koln,Hoffenheim,2,2,3,6.5,7.2,,,,,52%,13,13,"['Horn', 'Rexhbecaj', 'Bornauw', 'Czichos', 'Horn', 'Hoger', 'Skhiri', 'Thielmann', 'Duda', 'Hector', 'Andersson']","['Baumann', 'Adams', 'Vogt', 'Bicakcic', 'Akpoguma', 'Geiger', 'Samassekou', 'Kaderabek', 'Baumgartner', 'Dabbur', 'Kramaric']",4 - 2 - 3 - 1,3 - 4 - 3
5,Eintracht Frankfurt,Arminia Bielefeld,0,1,1,7.1,7.2,,,,,41%,18,14,"['Trapp', 'Abraham', 'Hasebe', 'Hinteregger', 'da Costa', 'Rode', 'Kamada', 'Kohr', 'Kostic', 'Andre Silva', 'Dost']","['Ortega', 'De Medina', 'Pieper', 'van der Hoorn', 'Lucoqui', 'Doan', 'Prietl', 'Hartel', 'Soukou', 'Klos', 'Cordova']",3 - 5 - 2,4 - 3 - 3
6,Dortmund,B. Monchengladbach,1,3,0,7.4,6.3,,,,,52%,,8,"['Burki', 'Can', 'Hummels', 'Akanji', 'Meunier', 'Witsel', 'Bellingham', 'Hazard', 'Reyna', 'Sancho', 'Haaland']","['Sommer', 'Elvedi', 'Ginter', 'Bensebaini', 'Lainer', 'Kramer', 'Neuhaus', 'Wendt', 'Hofmann', 'Wolf', 'Stindl']",3 - 4 - 1 - 2,3 - 4 - 1 - 2
7,RB Leipzig,Mainz,1,3,1,7.6,6.4,,,,,32%,,8,"['Gulacsi', 'Klostermann', 'Upamecano', 'Halstenberg', 'Haidara', 'Adams', 'Kampl', 'Angelino', 'Olmo', 'Forsberg', 'Poulsen']","['Zentner', 'Baku', 'St. Juste', 'Niakhate', 'Brosinski', 'Burkardt', 'Barreiro', 'Latza', 'Onisiwo', 'Mateta', 'Quaison']",3 - 4 - 2 - 1,4 - 4 - 2
8,Wolfsburg,Bayer Leverkusen,0,0,0,7.1,7.0,,,,42%,58%,9,6,"['Casteels', 'Steffen', 'Lacroix', 'Brooks', 'Roussillon', 'Schlager', 'Arnold', 'Brekalo', 'Mehmedi', 'Victor Sa', 'Weghorst']","['Hradecky', 'Bender', 'Bender', 'Tapsoba', 'Sinkgraven', 'Wirtz', 'Aranguiz', 'Demirbay', 'Bellarabi', 'Alario', 'Diaby']",4 - 2 - 3 - 1,4 - 3 - 3
9,Hertha Berlin,Eintracht Frankfurt,2,1,3,6.3,7.3,,,2.90,57%,43%,12,10,"['Schwolow', 'Pekarik', 'Boyata', 'Torunarigha', 'Mittelstadt', 'Stark', 'Tousart', 'Darida', 'Lukebakio', 'Cunha', 'Piatek']","['Trapp', 'Abraham', 'Hasebe', 'Hinteregger', 'Toure', 'Rode', 'Ilsanker', 'Kostic', 'Kamada', 'Dost', 'Andre Silva']",4 - 2 - 3 - 1,3 - 4 - 1 - 2
