,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
0,Monaco,Nantes,0,1,1,7.1,6.9,1.40,4.75,7.50,75%,25%,15,5,"['Nubel', 'Aguilar', 'Disasi', 'Badiashile', 'Caio Henrique', 'Martins', 'Jean Lucas', 'Tchouameni', 'Diop', 'Volland', 'Boadu']","['Lafont', 'Appiah', 'Castelletto', 'Pallois', 'Fabio', 'Moutoussamy', 'Blas', 'Andrei Girotto', 'Perreira de Sa', 'Simon', 'Kolo Muani']",4 - 4 - 2,4 - 1 - 4 - 1
1,Lyon,Brest,0,1,1,7.2,7.0,1.36,5.00,8.50,69%,31%,17,13,"['Lopes', 'Gusto', 'Marcelo', 'Lukeba', 'Dubois', 'Caqueret', 'Thiago Mendes', 'Aouar', 'Toko Ekambi', 'Dembele', 'Cherki']","['Bizot', 'Pierre-Gabriel', 'Chardonnet', 'Brassier', 'Uronen', 'Belkebla', 'Mbock', 'Honorat', 'Faivre', 'Cardona', 'Mounie']",4 - 3 - 3,4 - 2 - 3 - 1
2,Troyes,PSG,2,1,2,6.7,7.3,9.50,5.25,1.30,43%,57%,15,12,"['Gallon', 'Kabore', 'Azamoum', 'Giraudon', 'El Hajjam', 'Kone', 'Chambost', 'Kouame', 'Tardieu', 'Ripart', 'Touzghar']","['Navas', 'Hakimi', 'Kehrer', 'Kimpembe', 'Diallo', 'Wijnaldum', 'Herrera', 'Pereira', 'Draxler', 'Icardi', 'Mbappe']",5 - 4 - 1,4 - 4 - 2
3,Rennes,Lens,0,1,1,7.0,6.9,1.85,3.40,4.20,60%,40%,10,11,"['Gomis', 'Traore', 'Bade', 'Aguerd', 'Meling', 'Camavinga', 'Ugochukwu', 'Tait', 'Bourigeaud', 'Terrier', 'Sulemana']","['Leca', 'Fortes', 'Wooh', 'Boura', 'Clauss', 'Doucoure', 'Fofana', 'Machado', 'Kakuta', 'Banza', 'Ganago']",4 - 3 - 3,3 - 4 - 1 - 2
4,Strasbourg,Angers,2,0,2,6.5,7.2,2.00,3.40,3.75,57%,43%,7,9,"['Sels', 'Fila', 'Sissoko', 'Djiku', 'Caci', 'Waris', 'Bellegarde', 'Lienard', 'Thomasson', 'Diallo', 'Ajorque']","['Bernardoni', 'Manceau', 'Traore', 'Thomas', 'Cabot', 'Mangani', 'Taibi', 'Doumbia', 'Boufal', 'Fulgini', 'Cho']",4 - 4 - 2,3 - 4 - 1 - 2
5,St Etienne,Lorient,0,1,1,7.3,6.9,2.10,3.50,3.40,62%,38%,20,12,"['Green', 'Macon', 'Moukoudi', 'Nade', 'Kolodziejczak', 'Aouchiche', 'Camara', 'Youssouf', 'Bouanga', 'Khazri', 'Abi']","['Nardi', 'Igor Silva', 'Mendes', 'Laporte', 'Morel', 'Le Goff', 'Le Fee', 'Lemoine', 'Abergel', 'Moffi', 'Lauriente']",4 - 4 - 1 - 1,5 - 3 - 2
6,Nice,Reims,0,0,0,7.1,7.0,1.75,3.60,4.75,61%,39%,12,5,"['Benitez', 'Atal', 'Todibo', 'Dante', 'Kamara', 'Da Cunha', 'Thuram', 'Rosario', 'Kluivert', 'Ndoye', 'Gouiri']","['Rajkovic', 'Foket', 'Gravillon', 'Faes', 'Abdelhamid', 'Konan', 'Cafaro', 'Munetsi', 'Chavalerin', 'Mbuku', 'Sierhuis']",4 - 4 - 2,5 - 3 - 2
7,Bordeaux,Clermont,2,0,2,6.7,7.6,2.45,3.30,2.80,44%,56%,10,19,"['Costil', 'Kwateng', 'Mexer', 'Koscielny', 'Benito', 'Sissokho', 'Basic', 'Oudin', 'Adli', 'Kalu', 'Briand']","['Desmas', 'Zedadka', 'Hountondji', 'Ogier', 'Nsimba', 'Abdul Samed', 'Gastien', 'Dossou', 'Berthomier', 'Allevinah', 'Bayo']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
8,Metz,Lille,0,3,3,7.0,6.9,5.00,3.40,1.80,38%,62%,12,18,"['Oukidja', 'Bronn', 'Kouyate', 'Udol', 'Centonze', 'Sarr', ""N'Doram"", 'Delaine', 'Maiga', 'Sabaly', 'Niane']","['Leo Jardim', 'Celik', 'Fonte', 'Botman', 'Mandava', 'Sanches', 'Andre', 'Yazici', 'Bamba', 'David', 'Yilmaz']",3 - 4 - 1 - 2,4 - 4 - 2
9,Montpellier,Marseille,2,2,3,6.5,7.3,3.75,3.50,2.00,40%,60%,8,21,"['Bertaud', 'Sambia', 'Thuler', 'Esteve', 'Cozza', 'Ferri', 'Chotard', 'Laborde', 'Mollet', 'Wahi', 'Delort']","['Mandanda', 'Saliba', 'Balerdi', 'Luan Peres', 'Kamara', 'Gueye', 'Under', 'Guendouzi', 'Gerson', 'de la Fuente', 'Payet']",4 - 2 - 3 - 1,3 - 2 - 4 - 1
