,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
0,Brentford,Arsenal,1,2,0,7.3,6.7,,,2.05,35%,65%,8,22,"['Raya', 'Ajer', 'Jansson', 'Pinnock', 'Canos', 'Onyeka', 'Norgaard', 'Janelt', 'Henry', 'Mbeumo', 'Toney']","['Leno', 'Chambers', 'White', 'Mari', 'Tierney', 'Lokonga', 'Xhaka', 'Pepe', 'Smith Rowe', 'Martinelli', 'Balogun']",3 - 5 - 2,4 - 2 - 3 - 1
1,Manchester Utd,Leeds,1,5,1,7.4,6.3,1.61,4.20,5.25,49%,51%,16,10,"['de Gea', 'Wan-Bissaka', 'Lindelof', 'Maguire', 'Shaw', 'McTominay', 'Fred', 'James', 'Fernandes', 'Pogba', 'Greenwood']","['Meslier', 'Ayling', 'Struijk', 'Cooper', 'Dallas', 'Koch', 'Raphinha', 'Rodrigo', 'Klich', 'Harrison', 'Bamford']",4 - 2 - 3 - 1,4 - 1 - 4 - 1
2,Watford,Aston Villa,1,3,2,7.1,6.5,3.40,3.30,2.20,38%,62%,13,11,"['Bachmann', 'Cathcart', 'Troost-Ekong', 'Kabasele', 'Masina', 'Cleverley', 'Etebo', 'Kucka', 'Sarr', 'Dennis', 'Sema']","['Martinez', 'Cash', 'Konsa', 'Mings', 'Targett', 'McGinn', 'Nakamba', 'El Ghazi', 'Buendia', 'Young', 'Ings']",4 - 3 - 3,4 - 2 - 3 - 1
3,Leicester,Wolves,1,1,0,7.3,6.8,1.70,3.75,5.00,56%,44%,9,17,"['Schmeichel', 'Pereira', 'Amartey', 'Soyuncu', 'Thomas', 'Tielemans', 'Ndidi', 'Perez', 'Maddison', 'Barnes', 'Vardy']","['Sa', 'Kilman', 'Coady', 'Saiss', 'Hoever', 'Neves', 'Moutinho', 'Marcal', 'Trincao', 'Jimenez', 'Traore']",4 - 2 - 3 - 1,3 - 4 - 3
4,Everton,Southampton,1,3,1,7.3,6.4,2.00,3.40,3.90,48%,52%,14,6,"['Pickford', 'Coleman', 'Holgate', 'Keane', 'Digne', 'Allan', 'Doucoure', 'Townsend', 'Gray', 'Richarlison', 'Calvert-Lewin']","['McCarthy', 'Livramento', 'Stephens', 'Salisu', 'Perraud', 'Walcott', 'Ward-Prowse', 'Romeu', 'Djenepo', 'Adams', 'Armstrong']",4 - 2 - 3 - 1,4 - 4 - 2
5,Chelsea,Crystal Palace,1,3,0,7.4,6.4,1.30,5.25,11.00,62%,38%,13,4,"['Mendy', 'Chalobah', 'Christensen', 'Rudiger', 'Azpilicueta', 'Jorginho', 'Kovacic', 'Alonso', 'Mount', 'Pulisic', 'Werner']","['Guaita', 'Ward', 'Kouyate', 'Guehi', 'Mitchell', 'Ayew', 'Riedewald', 'McArthur', 'Schlupp', 'Zaha', 'Mateta']",3 - 4 - 2 - 1,4 - 4 - 2
6,Burnley,Brighton,2,1,2,6.8,7.3,3.10,3.10,2.45,36%,64%,14,14,"['Pope', 'Lowton', 'Tarkowski', 'Mee', 'Taylor', 'Gudmundsson', 'Westwood', 'Cork', 'McNeil', 'Wood', 'Rodriguez']","['Sanchez', 'Webster', 'Duffy', 'Dunk', 'Gross', 'Alzate', 'March', 'Mwepu', 'Bissouma', 'Trossard', 'Maupay']",4 - 4 - 2,4 - 1 - 4 - 1
7,Norwich,Liverpool,2,0,3,6.7,7.3,6.50,4.75,1.44,50%,50%,14,19,"['Krul', 'Aarons', 'Gibson', 'Hanley', 'Giannoulis', 'Rupp', 'Gilmour', 'Lees-Melou', 'Rashica', 'Cantwell', 'Pukki']","['Alisson', 'Alexander-Arnold', 'van Dijk', 'Matip', 'Tsimikas', 'Milner', 'Keita', 'Oxlade-Chamberlain', 'Diogo Jota', 'Salah', 'Mane']",4 - 3 - 2 - 1,4 - 3 - 3
8,Newcastle,West Ham,2,2,4,6.6,7.4,3.30,3.40,2.20,47%,53%,17,18,"['Woodman', 'Murphy', 'Krafth', 'Fernandez', 'Clark', 'Ritchie', 'Hayden', 'Shelvey', 'Almiron', 'Wilson', 'Saint-Maximin']","['Fabianski', 'Coufal', 'Dawson', 'Ogbonna', 'Cresswell', 'Rice', 'Soucek', 'Bowen', 'Benrahma', 'Fornals', 'Antonio']",5 - 3 - 2,4 - 2 - 3 - 1
9,Tottenham,Manchester City,1,1,0,7.3,6.8,,,,35%,65%,13,18,"['Lloris', 'Tanganga', 'Sanchez', 'Dier', 'Reguilon', 'Hojbjerg', 'Skipp', 'Alli', 'Lucas Moura', 'Son', 'Bergwijn']","['Ederson', 'Cancelo', 'Dias', 'Ake', 'Mendy', 'Gundogan', 'Fernandinho', 'Grealish', 'Mahrez', 'Torres', 'Sterling']",4 - 3 - 3,4 - 3 - 3
