,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
0,Frosinone,Napoli,2,1,3,6.4,7.1,6.50,4.33,1.55,1.01,1.42,48%,52%,"['Turati', 'Oyono', 'Monterisi', 'Romagnoli', 'Marchizza', 'Gelli', 'Mazzitelli', 'Harroui', 'Baez Stabile', 'Cuni', 'Caso']","['Meret', 'Di Lorenzo', 'Rrahmani', 'Juan Jesus', 'Olivera', 'Cajuste', 'Lobotka', 'Zielinski', 'Politano', 'Osimhen', 'Raspadori']",4 - 3 - 3,4 - 3 - 3
1,Empoli,Verona,2,0,1,6.2,7.1,2.25,3.30,3.25,0.76,0.33,47%,53%,"['Caprile', 'Ebuehi', 'Ismajli', 'Luperto', 'Cacace', 'Marin', 'Grassi', 'Cancellieri', 'Baldanzi', 'Gyasi', 'Caputo']","['Montipo', 'Dawidowicz', 'Magnani', 'Coppola', 'Terracciano', 'Hongla', 'Duda', 'Doig', 'Folorunsho', 'Mboula', 'Ngonge']",4 - 2 - 3 - 1,3 - 4 - 2 - 1
2,Inter,Monza,1,2,0,7.5,6.5,1.40,5.00,7.00,2.88,0.54,48%,52%,"['Sommer', 'Darmian', 'de Vrij', 'Bastoni', 'Dumfries', 'Barella', 'Calhanoglu', 'Mkhitaryan', 'Dimarco', 'Thuram', 'Martinez']","['Di Gregorio', ""D'Ambrosio"", 'Caldirola', 'Mari', 'Ciurria', 'Gagliardini', 'Pessina', 'Kyriakopoulos', 'Colpani', 'Caprari', 'Maric']",3 - 5 - 2,3 - 4 - 2 - 1
3,Genoa,Fiorentina,2,1,4,6.0,7.3,3.00,3.20,2.45,0.18,0.86,32%,68%,"['Martinez', 'Biraschi', 'Bani', 'Dragusin', 'Hefti', 'Frendrup', 'Badelj', 'Thorsby', 'Martin', 'Retegui', 'Gudmundsson']","['Terracciano', 'Kayode', 'Milenkovic', 'Ranieri', 'Biraghi', 'Arthur Melo', 'Mandragora', 'Gonzalez', 'Bonaventura', 'Brekalo', 'Nzola']",3 - 5 - 2,4 - 2 - 3 - 1
4,Sassuolo,Atalanta,2,0,2,6.7,7.2,3.25,3.50,2.20,0.54,1.15,49%,51%,"['Consigli', 'Toljan', 'Erlic', 'Viti', 'Vina', 'Lopez', 'Matheus Henrique', 'Defrel', 'Bajrami', 'Lauriente', 'Pinamonti']","['Musso', 'Djimsiti', 'Scalvini', 'Kolasinac', 'Zappacosta', 'de Roon', 'Koopmeiners', 'Ruggeri', 'Pasalic', 'Zapata', 'Lookman']",4 - 2 - 3 - 1,3 - 4 - 1 - 2
5,AS Roma,Salernitana,0,2,2,6.8,6.8,1.50,4.00,7.50,1.84,0.14,60%,40%,"['Patricio', 'Mancini', 'Smalling', 'Llorente', 'Kristensen', 'Bove', 'Cristante', 'Aouar', 'Spinazzola', 'Belotti', 'El Shaarawy']","['Ochoa', 'Lovato', 'Fazio', 'Gyomber', 'Mazzocchi', 'Maggiore', 'Coulibaly', 'Bradaric', 'Candreva', 'Kastanos', 'Botheim']",3 - 5 - 2,3 - 4 - 2 - 1
6,Udinese,Juventus,2,0,3,6.1,7.4,3.75,3.30,2.05,0.82,1.79,48%,52%,"['Silvestri', 'Perez', 'Bijol', 'Kabasele', 'Ebosele', 'Zarraga', 'Walace', 'Lovric', 'Kamara', 'Thauvin', 'Beto']","['Szczesny', 'Danilo', 'Bremer', 'Alex Sandro', 'Weah', 'Miretti', 'Locatelli', 'Rabiot', 'Cambiaso', 'Vlahovic', 'Chiesa']",3 - 5 - 2,3 - 5 - 2
7,Lecce,Lazio,1,2,1,7.1,6.7,3.60,3.25,2.10,1.64,1.75,48%,52%,"['Falcone', 'Gendrey', 'Pongracic', 'Baschirotto', 'Dorgu', 'Rafia', 'Ramadani', 'Gonzalez', 'Almqvist', 'Strefezza', 'Banda']","['Provedel', 'Lazzari', 'Patric', 'Romagnoli', 'Marusic', 'Kamada', 'Cataldi', 'Luis Alberto', 'Felipe Anderson', 'Immobile', 'Zaccagni']",4 - 3 - 3,4 - 3 - 3
8,Torino,Cagliari,0,0,0,7.0,7.0,1.55,4.00,6.50,0.98,0.36,57%,43%,"['Milinkovic-Savic', 'Schuurs', 'Buongiorno', 'Rodriguez', 'Bellanova', 'Ricci', 'Ilic', 'Vojvoda', 'Vlasic', 'Karamoh', 'Sanabria']","['Radunovic', 'Zappa', 'Goldaniga', 'Dossena', 'Obert', 'Nandez', 'Sulemana', 'Makoumbou', 'Dentello Azzi', 'Oristanio', 'Luvumbo']",3 - 4 - 2 - 1,4 - 4 - 2
9,Bologna,AC Milan,2,0,2,6.6,7.4,3.75,3.40,2.00,1.06,1.00,53%,47%,"['Skorupski', 'Posch', 'Beukema', 'Lucumi', 'Lykogiannis', 'Dominguez', 'Moro', 'Aebischer', 'Ferguson', 'Ndoye', 'Zirkzee']","['Maignan', 'Calabria', 'Thiaw', 'Tomori', 'Hernandez', 'Loftus-Cheek', 'Krunic', 'Reijnders', 'Pulisic', 'Giroud', 'Leao']",4 - 2 - 3 - 1,4 - 3 - 3
10,Monza,Empoli,1,2,0,7.5,6.5,1.91,3.60,4.00,2.03,1.07,54%,46%,"['Di Gregorio', 'Izzo', 'Mari', 'Caldirola', 'Ciurria', 'Pessina', 'Gagliardini', 'Birindelli', 'Caprari', 'Colpani', 'Mota']","['Perisan', 'Ebuehi', 'Ismajli', 'Luperto', 'Cacace', 'Marin', 'Haas', 'Cancellieri', 'Baldanzi', 'Gyasi', 'Caputo']",3 - 4 - 2 - 1,4 - 2 - 3 - 1
11,Frosinone,Atalanta,1,2,1,7.4,6.6,5.25,4.00,1.60,0.70,1.43,37%,63%,"['Cerofolini', 'Oyono', 'Monterisi', 'Romagnoli', 'Marchizza', 'Barrenechea', 'Mazzitelli', 'Gelli', 'Baez Stabile', 'Cheddira', 'Harroui']","['Musso', 'Scalvini', 'Djimsiti', 'Kolasinac', 'Zappacosta', 'de Roon', 'Ederson', 'Ruggeri', 'Koopmeiners', 'Lookman', 'Zapata']",4 - 3 - 3,3 - 4 - 1 - 2
12,Verona,AS Roma,1,2,1,7.1,6.7,,,,,1.49,,72%,"['Montipo', 'Magnani', 'Hien', 'Dawidowicz', 'Terracciano', 'Hongla', 'Duda', 'Doig', 'Folorunsho', 'Ngonge', 'Djuric']","['Patricio', 'Mancini', 'Smalling', 'Llorente', 'Kristensen', 'Pellegrini', 'Paredes', 'Cristante', 'Zalewski', 'Dybala', 'Belotti']",3 - 4 - 2 - 1,3 - 5 - 2
13,AC Milan,Torino,1,4,1,7.4,6.0,1.75,3.60,4.75,3.38,0.46,59%,41%,"['Maignan', 'Calabria', 'Thiaw', 'Tomori', 'Hernandez', 'Loftus-Cheek', 'Krunic', 'Reijnders', 'Pulisic', 'Giroud', 'Leao']","['Milinkovic-Savic', 'Schuurs', 'Buongiorno', 'Rodriguez', 'Bellanova', 'Ricci', 'Ilic', 'Vojvoda', 'Vlasic', 'Radonjic', 'Sanabria']",4 - 3 - 3,3 - 4 - 2 - 1
14,Juventus,Bologna,0,1,1,7.0,7.1,1.70,3.75,5.00,59%,41%,14,9,"['Perin', 'Danilo', 'Bremer', 'Alex Sandro', 'Weah', 'Fagioli', 'Locatelli', 'Rabiot', 'Cambiaso', 'Vlahovic', 'Chiesa']","['Skorupski', 'Posch', 'Beukema', 'Lucumi', 'Lykogiannis', 'Moro', 'Aebischer', 'Orsolini', 'Ferguson', 'Ndoye', 'Zirkzee']",3 - 5 - 2,4 - 2 - 3 - 1
15,Fiorentina,Lecce,0,2,2,7.0,6.7,1.67,4.00,5.00,58%,42%,9,6,"['Christensen', 'Dodo', 'Milenkovic', 'Martinez Quarta', 'Parisi', 'Arthur Melo', 'Duncan', 'Gonzalez', 'Bonaventura', 'Sottil', 'Beltran']","['Falcone', 'Gendrey', 'Pongracic', 'Baschirotto', 'Gallo', 'Rafia', 'Ramadani', 'Gonzalez', 'Almqvist', 'Strefezza', 'Banda']",4 - 2 - 3 - 1,4 - 3 - 3
16,Napoli,Sassuolo,1,2,0,7.4,6.2,1.33,5.50,8.50,2.91,0.08,67%,33%,"['Meret', 'Di Lorenzo', 'Rrahmani', 'Juan Jesus', 'Olivera', 'Anguissa', 'Lobotka', 'Zielinski', 'Politano', 'Osimhen', 'Raspadori']","['Consigli', 'Toljan', 'Erlic', 'Tressoldi', 'Vina', 'Boloca', 'Lopez', 'Matheus Henrique', 'Bajrami', 'Pinamonti', 'Lauriente']",4 - 3 - 3,4 - 3 - 3
17,Lazio,Genoa,2,0,1,6.6,7.3,1.80,3.75,4.20,0.93,0.51,70%,30%,"['Provedel', 'Lazzari', 'Casale', 'Romagnoli', 'Marusic', 'Kamada', 'Cataldi', 'Luis Alberto', 'Felipe Anderson', 'Immobile', 'Zaccagni']","['Martinez', 'Sabelli', 'Bani', 'Dragusin', 'Vasquez', 'Frendrup', 'Badelj', 'Strootman', 'Malinovsky', 'Gudmundsson', 'Retegui']",4 - 3 - 3,4 - 3 - 2 - 1
18,Salernitana,Udinese,0,1,1,7.0,7.0,2.70,3.30,2.70,0.47,0.71,56%,44%,"['Ochoa', 'Lovato', 'Gyomber', 'Pirola', 'Kastanos', 'Coulibaly', 'Bohinen', 'Mazzocchi', 'Botheim', 'Candreva', 'Dia']","['Silvestri', 'Perez', 'Bijol', 'Kabasele', 'Ferreira', 'Samardzic', 'Walace', 'Lovric', 'Kamara', 'Thauvin', 'Lucca']",3 - 4 - 2 - 1,3 - 5 - 2
19,Cagliari,Inter,2,0,2,6.5,7.5,8.00,4.50,1.40,0.49,0.89,33%,67%,"['Radunovic', 'Zappa', 'Dossena', 'Obert', 'Augello', 'Nandez', 'Makoumbou', 'Sulemana', 'Jankto', 'Pavoletti', 'Oristanio']","['Sommer', 'Darmian', 'de Vrij', 'Bastoni', 'Dumfries', 'Barella', 'Calhanoglu', 'Mkhitaryan', 'Dimarco', 'Thuram', 'Martinez']",4 - 4 - 2,3 - 5 - 2
20,Sassuolo,Verona,1,3,1,7.2,6.5,1.95,3.60,3.75,1.43,0.59,47%,53%,"['Consigli', 'Toljan', 'Erlic', 'Tressoldi', 'Vina', 'Matheus Henrique', 'Boloca', 'Thorstvedt', 'Berardi', 'Pinamonti', 'Lauriente']","['Montipo', 'Magnani', 'Dawidowicz', 'Coppola', 'Faraoni', 'Hongla', 'Duda', 'Doig', 'Folorunsho', 'Ngonge', 'Mboula']",4 - 3 - 3,3 - 4 - 2 - 1
21,AS Roma,AC Milan,2,1,2,6.4,7.0,,,,,,,,"['Patricio', 'Mancini', 'Smalling', 'Llorente', 'Celik', 'Cristante', 'Paredes', 'Aouar', 'Zalewski', 'El Shaarawy', 'Belotti']","['Maignan', 'Calabria', 'Thiaw', 'Tomori', 'Hernandez', 'Loftus-Cheek', 'Krunic', 'Reijnders', 'Pulisic', 'Giroud', 'Leao']",3 - 5 - 2,4 - 3 - 3
22,Udinese,Frosinone,0,0,0,7.0,7.1,1.91,3.50,4.20,1.86,1.51,47%,53%,"['Silvestri', 'Perez', 'Bijol', 'Kabasele', 'Ferreira', 'Samardzic', 'Walace', 'Lovric', 'Kamara', 'Thauvin', 'Lucca']","['Turati', 'Oyono', 'Monterisi', 'Romagnoli', 'Marchizza', 'Mazzitelli', 'Barrenechea', 'Soule', 'Harroui', 'Gelli', 'Cheddira']",3 - 5 - 2,4 - 2 - 3 - 1
23,Bologna,Cagliari,1,2,1,7.1,6.5,1.80,3.60,4.33,1.23,0.30,72%,28%,"['Skorupski', 'Posch', 'Beukema', 'Lucumi', 'Kristiansen', 'Aebischer', 'Moro', 'Ndoye', 'Ferguson', 'Karlsson', 'Zirkzee']","['Radunovic', 'Zappa', 'Dossena', 'Wieteska', 'Augello', 'Nandez', 'Sulemana', 'Makoumbou', 'Jankto', 'Luvumbo', 'Petagna']",4 - 2 - 3 - 1,4 - 4 - 2
24,Napoli,Lazio,2,1,2,6.6,7.3,1.65,4.20,5.00,1.10,0.60,61%,39%,"['Meret', 'Di Lorenzo', 'Rrahmani', 'Juan Jesus', 'Olivera', 'Anguissa', 'Lobotka', 'Zielinski', 'Politano', 'Osimhen', 'Kvaratskhelia']","['Provedel', 'Marusic', 'Casale', 'Romagnoli', 'Hysaj', 'Kamada', 'Cataldi', 'Luis Alberto', 'Felipe Anderson', 'Immobile', 'Zaccagni']",4 - 3 - 3,4 - 3 - 3
